schoolid,schoolname,DbtReportYr,DbtGradYear,AvgDebtGrad,BorrowRateGrad
00332923,Pennsylvania State University-Dickinson School of Law,2024,2023,,
00337101,Temple University,2024,2023,81147,72.4
00337800,University of Pennsylvania,2024,2023,,
00337900,University of Pittsburgh,2024,2023,,
00338801,Villanova University,2024,2023,96669,57.6
00341001,Roger Williams University,2024,2023,,
00344800,University of South Carolina,2024,2023,102760,72.9
00347400,University of South Dakota,2024,2023,87829,69
00347900,Belmont University,2024,2023,,
00350200,Lincoln Memorial University,2024,2023,122487,80.2
00350900,University of Memphis,2024,2023,,
00353000,University of Tennessee,2024,2023,61136,69.6
00353500,Vanderbilt University,2024,2023,151118,64
00354500,Baylor University,2024,2023,153735,67.4
00361300,Southern Methodist University,2024,2023,56083,54.6
00362300,"St. Mary's University",2024,2023,140028,82
00363221,Texas A&M University,2024,2023,,
00364200,Texas Southern University,2024,2023,,
00364400,Texas Tech University,2024,2023,79014,70.9
00365200,University of Houston,2024,2023,104466,85.4
00365800,University of Texas at Austin,2024,2023,103019,63.3
00367000,Brigham Young University,2024,2023,51997,100
00367500,University of Utah,2024,2023,73400,65.1
00370500,William and Mary Law School,2024,2023,115095,70.9
00374400,University of Richmond,2024,2023,105749,73.3
00374500,University of Virginia,2024,2023,,
00374900,George Mason University,2024,2023,,
00376800,Washington and Lee University,2024,2023,108077,63.6
00377800,Gonzaga University,2024,2023,,
00379001,Seattle University,2024,2023,,
00379800,University of Washington,2024,2023,,
00382700,West Virginia University,2024,2023,82377,78.6
00386300,Marquette University,2024,2023,130327,79.6
00389500,University of Wisconsin,2024,2023,73092,63.2
00393200,University of Wyoming,2024,2023,83741,59.7
00393600,Pontifical Catholic University of P.R.,2024,2023,,
00394200,University of Puerto Rico,2024,2023,,
00394700,"UC College of the Law, San Francisco",2024,2023,,
00396900,University of Minnesota,2024,2023,101825,62.9
00425090,Inter American University of Puerto Rico,2024,2023,,
00497700,South Texas College of Law,2024,2023,135623,80.5
00891600,New England Law | Boston,2024,2023,100100,74.8
00927500,Northern Kentucky University,2024,2023,115418,76.6
00963500,Florida International University,2024,2023,93328,78.9
01014205,Touro University,2024,2023,,79.4
01014913,Pepperdine University,2024,2023,,
01039501,University of San Diego,2024,2023,137853,81.3
01164901,Loyola Marymount University-Los Angeles,2024,2023,155496,71.2
01193400,Vermont Law School,2024,2023,117091,83.2
01262700,Thomas M. Cooley Law School,2024,2023,,
01310300,California Western School of Law,2024,2023,,
02053000,Liberty University,2024,2023,87570,80.2
02179937,Western State College of Law,2024,2023,116000,77.8
03091300,Regent University,2024,2023,92587,70.3
03173300,"Atlanta's John Marshall Law School",2024,2023,,
03191300,City University of New York,2024,2023,87524,72.3
03559300,Appalachian School of Law,2024,2023,,
03691400,Ave Maria School of Law,2024,2023,115853,77.1
04096300,Charleston School of Law,2024,2023,121450,78.6
04242101,UNT Dallas College Of Law,2024,2023,93816,69.9
