schoolid,schoolname,CalendarYear,TotalJDDeg,HispanicJDDeg,AmIndianJDDeg,AsianJDDeg,BlackJDDeg,NatHawJDDeg,TwoorMoreJDDeg,MinorityJDDeg,WhiteJDDeg,NonresalienJDDeg,UnknownJDDeg
00219900,Northeastern University,2023,204,23,0,20,17,0,12,72,127,4,1
00221007,University of Massachusetts Dartmouth,2023,114,16,1,5,7,0,5,34,73,1,6
00221810,Suffolk University,2023,349,27,0,20,7,0,6,60,272,6,11
00222600,Western New England University,2023,103,9,0,1,11,0,0,21,74,0,8
00225400,Michigan State University,2023,194,6,1,6,9,0,10,32,147,7,8
00232300,University of Detroit Mercy,2023,188,5,0,9,16,0,6,36,68,77,7
00232503,University of Michigan,2023,306,21,3,40,13,0,29,106,188,2,10
00232902,Wayne State University,2023,100,3,3,4,7,0,5,22,74,0,4
00234500,University of St. Thomas (Minnesota),2023,146,10,0,4,3,0,3,20,120,4,2
00239101,Mitchell Hamline School of Law,2023,319,19,2,14,22,0,10,67,229,4,19
00241501,Mississippi College,2023,113,7,0,3,8,0,1,19,92,0,2
00244000,University of Mississippi,2023,160,5,2,1,22,0,0,30,130,0,0
00250609,Saint Louis University,2023,189,9,0,10,18,0,5,42,140,4,3
00251600,University of Missouri,2023,106,3,1,4,6,0,1,15,89,0,2
00251800,University of Missouri-Kansas City,2023,145,14,0,3,7,0,6,30,108,3,4
00252000,Washington University,2023,231,9,0,22,13,0,7,51,151,19,10
00253600,University of Montana,2023,78,3,3,4,0,0,3,13,60,0,5
00254200,Creighton University,2023,121,15,1,0,3,0,2,21,100,0,0
00256500,University of Nebraska,2023,128,5,1,4,1,0,0,11,115,1,1
00256900,University of Nevada - Las Vegas,2023,130,24,0,13,4,1,0,42,84,1,3
00258903,University of New Hampshire,2023,179,9,0,11,6,0,6,32,131,5,11
00262900,Rutgers University,2023,384,47,0,26,39,0,10,122,241,0,21
00263201,Seton Hall University,2023,241,32,0,14,6,1,6,59,171,3,8
00266300,University of New Mexico,2023,102,37,5,3,3,0,2,50,44,3,5
00267700,Brooklyn Law School,2023,376,46,0,42,14,0,15,117,240,8,11
00270711,Columbia University,2023,428,27,2,60,42,0,0,131,217,63,17
00271101,Cornell University,2023,174,20,0,24,12,0,18,74,73,25,2
00272203,Fordham University,2023,412,39,2,43,31,0,20,135,242,21,14
00273200,Hofstra University,2023,259,26,1,17,9,2,4,59,173,3,24
00278300,New York Law School,2023,288,27,1,21,13,0,12,74,188,10,16
00278500,New York University,2023,597,47,1,46,35,0,32,161,417,12,7
00279102,Pace University,2023,248,30,0,17,16,0,20,83,158,1,6
00282300,"St. John's University",2023,248,37,0,15,11,0,4,67,168,12,1
00283700,University of Buffalo-SUNY,2023,157,13,0,2,5,0,5,25,118,8,6
00288200,Syracuse University,2023,183,22,0,0,9,0,4,35,133,8,7
00288600,Albany Law School of Union University,2023,165,17,0,8,4,0,5,34,120,8,3
00290301,Cardozo School of Law,2023,322,26,0,30,10,0,10,76,198,13,35
00291300,Campbell University,2023,147,14,0,2,5,0,2,23,122,1,1
00292002,Duke University,2023,237,21,0,18,13,0,10,62,153,16,6
00292701,Elon University,2023,128,8,1,1,19,0,5,34,88,0,6
00295000,North Carolina Central University,2023,134,10,3,3,75,0,0,91,41,0,2
00297400,University of North Carolina,2023,189,19,1,12,8,0,5,45,141,0,3
00297805,Wake Forest University,2023,87,10,0,2,4,0,8,24,62,1,0
00300500,University of North Dakota,2023,61,3,0,0,1,0,5,9,40,12,0
00302302,Capital University,2023,123,3,1,2,6,0,4,16,106,0,1
00302400,Case Western Reserve University,2023,119,6,0,5,10,0,3,24,89,6,0
00303200,Cleveland State University,2023,119,5,0,1,13,0,0,19,96,1,3
00308900,Ohio Northern University,2023,54,4,0,3,2,0,1,10,41,0,3
00309000,The Ohio State University,2023,182,15,2,5,18,0,5,45,126,4,7
00312300,University of Akron,2023,122,5,0,7,11,0,2,25,94,0,3
00312500,University of Cincinnati,2023,126,5,0,6,7,0,0,18,87,0,21
00312700,University of Dayton,2023,114,14,0,5,5,0,5,29,82,2,1
00313100,University of Toledo,2023,100,2,0,4,1,0,2,9,85,0,6
00316614,Oklahoma City University,2023,165,35,4,4,9,0,12,64,101,0,0
00318400,University of Oklahoma,2023,168,15,5,5,11,0,26,62,103,1,2
00318500,University of Tulsa,2023,106,4,2,1,2,0,13,22,81,0,3
00319700,Lewis and Clark College,2023,178,25,3,14,4,0,3,49,122,3,4
00322300,University of Oregon,2023,155,20,3,10,4,0,7,44,107,2,2
00322700,Willamette University,2023,96,12,5,3,3,3,1,27,64,0,5
00325600,Drexel University,2023,151,11,0,10,10,0,6,37,98,5,11
00325800,Duquesne University,2023,137,18,0,2,6,0,4,30,106,1,0
00331301,Widener University-Delaware,2023,183,7,0,5,18,0,3,33,147,0,3
00331302,Widener Commonwealth,2023,85,6,0,5,12,0,0,23,57,0,5
00332900,Pennsylvania State University-Penn State Law,2023,113,11,0,3,5,0,8,27,81,5,0
00332923,Pennsylvania State University-Dickinson School of Law,2023,75,8,0,8,9,0,4,29,36,7,3
00337101,Temple University,2023,210,24,0,18,26,0,4,72,133,3,2
00337800,University of Pennsylvania,2023,248,23,1,26,23,0,14,87,134,19,8
00337900,University of Pittsburgh,2023,108,8,0,2,6,0,4,20,87,0,1
00338801,Villanova University,2023,172,5,0,6,8,0,6,25,143,0,4
00341001,Roger Williams University,2023,171,20,2,6,12,0,4,44,119,3,5
00344800,University of South Carolina,2023,214,5,2,3,21,0,7,38,167,1,8
00347400,University of South Dakota,2023,58,2,1,0,1,0,2,6,50,0,2
00347900,Belmont University,2023,110,9,0,2,2,0,5,18,89,0,3
00350200,Lincoln Memorial University,2023,98,3,0,1,5,0,7,16,81,0,1
00350900,University of Memphis,2023,96,5,1,2,14,0,0,22,68,0,6
00353000,University of Tennessee,2023,112,6,0,2,12,0,2,22,90,0,0
00353500,Vanderbilt University,2023,200,15,0,10,13,1,0,39,148,1,12
00354500,Baylor University,2023,138,24,2,5,2,0,3,36,100,2,0
00361300,Southern Methodist University,2023,218,34,0,14,11,0,8,67,144,3,4
00362300,"St. Mary's University",2023,204,100,0,4,10,0,0,114,90,0,0
00363221,Texas A&M University,2023,162,34,1,5,11,0,7,58,102,1,1
00364200,Texas Southern University,2023,150,43,0,7,79,0,1,130,19,0,1
00364400,Texas Tech University,2023,141,36,0,4,6,0,3,49,90,0,2
00365200,University of Houston,2023,240,40,2,25,13,0,4,84,147,4,5
00365800,University of Texas at Austin,2023,277,42,0,29,13,0,2,86,177,5,9
00367000,Brigham Young University,2023,111,8,2,3,0,1,2,16,90,4,1
00367500,University of Utah,2023,85,5,1,3,1,0,1,11,72,0,2
00370500,William and Mary Law School,2023,217,7,0,11,4,0,7,29,171,8,9
00374400,University of Richmond,2023,150,16,0,12,8,0,6,42,105,2,1
00374500,University of Virginia,2023,284,19,0,33,15,0,8,75,197,3,9
00374900,George Mason University,2023,163,7,0,13,2,1,9,32,118,8,5
