schoolid,schoolname,CalendarYear,SchoolType,TermType,FTResTuition,PTResTuition,FTNonResTuition,PTNonResTuition,FTResTermTuition,PTResTermTuition,FTNonResTermTuition,PTNonResTermTuition,TuitionGuarInd,OnCampusCosts,OffCampusCosts,AtHomeCosts
00353500,Vanderbilt University,2023,PRI,SEM,72184,,72184,,36092,,36092,,N,33344,33344,33344
00354500,Baylor University,2023,PRI,QTR,61876,,61876,,20626,,20626,,N,24851,27465,14210
00361300,Southern Methodist University,2023,PRI,SEM,63502,,63502,,31751,,31751,,N,21670,14248,6430
00362300,"St. Mary's University",2023,PRI,SEM,43324,28654,43324,28654,21662,14327,21662,14327,N,22038,22038,22038
00363221,Texas A&M University,2023,PUB,SEM,32634,25361,49002,37638,16317,12681,24501,18819,N,,27300,27300
00364200,Texas Southern University,2023,PUB,SEM,21038,,28633,,10519,,14317,,N,,24034,
00364400,Texas Tech University,2023,PUB,SEM,27532,,39232,,13766,,19616,,N,17234,17234,17234
00365200,University of Houston,2023,PUB,SEM,34943,24002,50133,34292,17472,12001,25067,17146,N,20154,22006,13966
00365800,University of Texas at Austin,2023,PUB,SEM,36429,,54096,,18215,,27048,,N,24148,24934,12290
00367000,Brigham Young University,2023,PRI,SEM,15076,,30152,,7538,,15076,,N,20496,23408,10584
00367500,University of Utah,2023,PUB,SEM,33634,,43599,,16817,,21800,,N,23636,28136,20836
00370500,William and Mary Law School,2023,PUB,SEM,43286,,66043,,21643,,33022,,N,22978,22978,22978
00374400,University of Richmond,2023,PRI,SEM,53440,,53440,,26720,,26720,,N,24310,24500,14150
00374500,University of Virginia,2023,PUB,SEM,71200,,74200,,35600,,37100,,N,27170,27170,27170
00374900,George Mason University,2023,PUB,SEM,26950,,42798,,13475,,21399,,N,35466,35466,15796
00376800,Washington and Lee University,2023,PRI,SEM,55550,,55550,,27775,,27775,,N,,20620,8970
00377800,Gonzaga University,2023,PRI,SEM,53359,,53359,,26680,,26680,,N,22409,22409,13122
00379001,Seattle University,2023,PRI,SEM,57015,38101,57015,38101,28508,19051,28508,19050,N,31151,31151,14321
00379800,University of Washington,2023,PUB,QTR,43584,,55617,,14528,,18539,,N,28659,28659,12123
00382700,West Virginia University,2023,PUB,SEM,26320,,43672,,13160,,21836,,N,16470,16470,16470
00386300,Marquette University,2023,PRI,SEM,49710,,49710,,24855,,24855,,N,21668,21668,21668
00389500,University of Wisconsin,2023,PUB,SEM,35196,,52893,,17598,,26447,,N,25085,25085,14852
00393200,University of Wyoming,2023,PUB,SEM,17946,,36426,,8973,,18213,,N,21420,18020,12890
00393600,Pontifical Catholic University of P.R.,2023,PRI,SEM,17301,13488,17301,13488,8651,6744,8651,6744,N,20244,25817,16653
00394200,University of Puerto Rico,2023,PUB,SEM,9953,,9953,,4977,,4977,,N,22806,22806,22806
00394700,"UC College of the Law, San Francisco",2023,PUB,SEM,48273,,55207,,24137,,27604,,N,29662,29662,29662
00396900,University of Minnesota,2023,PUB,SEM,48964,,58396,,24482,,29198,,N,22900,22900,22900
00425090,Inter American University of Puerto Rico,2023,PRI,SEM,15635,12240,15635,12240,7818,6120,7818,6120,Y,,25479,23656
00497700,South Texas College of Law,2023,PRI,SEM,41110,27740,41110,27740,20555,13870,20555,13870,N,,31654,23654
00891600,New England Law | Boston,2023,PRI,SEM,57298,43034,57298,43034,28649,21517,28649,21517,N,,35581,22981
00927500,Northern Kentucky University,2023,PUB,SEM,24669,20799,39333,33207,12335,10400,19667,16603,N,19468,19468,14748
00963500,Florida International University,2023,PUB,SEM,21129,14900,34899,24549,10565,7450,17450,12274,N,20750,30582,15592
01014205,Touro University,2023,PRI,SEM,57810,45655,57810,45655,28905,22828,28905,22827,N,,32390,32390
01014913,Pepperdine University,2023,PRI,SEM,68046,,68046,,34023,,34023,,N,31300,31300,31300
01039501,University of San Diego,2023,PRI,SEM,63052,46742,63052,46742,31526,23371,31526,23371,N,27901,27901,17248
01164901,Loyola Marymount University-Los Angeles,2023,PRI,SEM,65912,44106,65912,44106,32956,22053,32956,22053,N,,99730,87097
01193400,Vermont Law School,2023,PRI,SEM,52650,,52650,,26325,,26325,,N,22372,22372,22372
01262700,Thomas M. Cooley Law School,2023,PRI,SEM,46240,28000,46240,28000,23120,14000,23120,14000,N,,27136,27136
01310300,California Western School of Law,2023,PRI,TRI,60430,45230,60430,45230,20143,15077,20143,15076,N,,30490,15760
02053000,Liberty University,2023,PRI,SEM,42891,,42891,,21446,,21446,,N,24594,32686,20718
02179937,Western State College of Law,2023,PRI,SEM,49848,33431,49848,33431,24924,16716,24924,16715,N,,28224,18248
03091300,Regent University,2023,PRI,SEM,41596,31236,41596,31236,20798,15618,20798,15618,N,26160,30518,30518
03173300,"Atlanta's John Marshall Law School",2023,PRI,SEM,52006,31868,52006,31868,26003,15934,26003,15934,N,34375,34375,34375
03191300,City University of New York,2023,PUB,SEM,16013,11358,26203,18378,8007,5679,13102,9189,N,,25588,10830
03559300,Appalachian School of Law,2023,PRI,SEM,41000,,41000,,20500,,20500,,N,,41800,41800
03691400,Ave Maria School of Law,2023,PRI,SEM,49656,,49656,,24828,,24828,,Y,32765,32765,32765
04096300,Charleston School of Law,2023,PRI,SEM,46134,37234,46134,37234,23067,18617,23067,18617,N,,27752,27752
04242101,UNT Dallas College Of Law,2023,PUB,SEM,18750,,31650,,9375,,15825,,N,,24632,15432
