schoolid,schoolname,CalendarYear,AcademicYear,FacTotal,FacMen,FacWomen,FacAGI,FacPNR,FacMinority,FTFacTotal,FTFacMen,FTFacWomen,FTFacAGI,FTFacPNR,FTFacMinority,NonFTFacTotal,NonFTFacMen,NonFTFacWomen,NonFTFacAGI,NonFTFacPNR,NonFTFacMinority,TotalLibrarian,FTLibrarian,PTLibrarian,TotalAdmin,FTAdmin,PTAdmin
00394200,University of Puerto Rico,2023,2022,110,65,45,0,0,105,31,23,8,0,0,30,79,42,37,0,0,75,6,6,0,,,
00394700,"UC College of the Law, San Francisco",2023,2022,279,155,120,0,4,74,70,33,37,0,0,17,209,122,83,0,4,57,10,9,1,,,
00396900,University of Minnesota,2023,2022,299,165,134,0,0,38,65,35,30,0,0,11,234,130,104,0,0,27,18,15,3,,,
00425090,Inter American University of Puerto Rico,2023,2022,92,57,35,0,0,90,21,12,9,0,0,20,71,45,26,0,0,70,13,13,0,,,
00497700,South Texas College of Law,2023,2022,126,77,49,0,0,26,61,34,27,0,0,15,65,43,22,0,0,11,5,5,0,,,
00891600,New England Law | Boston,2023,2022,160,91,69,0,0,21,35,19,16,0,0,7,125,72,53,0,0,14,5,5,0,,,
00927500,Northern Kentucky University,2023,2022,66,40,26,0,0,12,24,17,7,0,0,6,42,23,19,0,0,6,2,2,0,,,
00963500,Florida International University,2023,2022,103,60,42,0,0,43,44,22,22,0,0,20,58,38,20,0,0,23,8,5,3,,,
01014205,Touro University,2023,2022,92,45,46,0,1,18,31,12,19,0,0,4,61,33,27,0,1,14,5,5,0,,,
01014913,Pepperdine University,2023,2022,149,92,57,0,0,29,50,30,20,0,0,10,99,62,37,0,0,19,6,6,0,,,
01039501,University of San Diego,2023,2022,151,89,62,0,0,24,46,27,19,0,0,5,105,62,43,0,0,19,7,7,0,,,
01164901,Loyola Marymount University-Los Angeles,2023,2022,196,110,86,0,0,41,63,29,34,0,0,12,133,81,52,0,0,29,10,9,1,,,
01193400,Vermont Law School,2023,2022,172,69,100,1,1,28,50,16,33,1,0,8,121,53,67,0,1,20,6,4,2,,,
01262700,Thomas M. Cooley Law School,2023,2022,115,70,45,0,0,25,36,16,20,0,0,9,79,54,25,0,0,16,9,7,2,,,
01310300,California Western School of Law,2023,2022,107,56,51,0,0,24,38,20,18,0,0,9,69,36,33,0,0,15,8,8,0,,,
02053000,Liberty University,2023,2022,39,26,13,0,0,9,22,16,6,0,0,6,17,10,7,0,0,3,3,3,0,,,
02179937,Western State College of Law,2023,2022,53,30,23,0,0,13,19,9,10,0,0,4,34,21,13,0,0,9,4,3,1,,,
03091300,Regent University,2023,2022,58,44,14,0,0,12,21,14,7,0,0,5,37,30,7,0,0,7,3,0,3,,,
03173300,"Atlanta's John Marshall Law School",2023,2022,35,16,19,0,0,10,20,9,11,0,0,5,15,7,8,0,0,5,3,3,0,,,
03191300,City University of New York,2023,2022,94,35,57,0,1,48,65,23,42,0,0,36,28,12,15,0,1,12,6,6,0,,,
03559300,Appalachian School of Law,2023,2022,25,16,9,0,0,3,16,10,6,0,0,1,9,6,3,0,0,2,2,1,1,,,
03691400,Ave Maria School of Law,2023,2022,41,24,17,0,0,5,27,15,12,0,0,3,14,9,5,0,0,2,4,3,1,,,
04096300,Charleston School of Law,2023,2022,76,40,36,0,0,9,30,13,17,0,0,4,46,27,19,0,0,5,4,4,0,,,
04242101,UNT Dallas College Of Law,2023,2022,46,21,25,0,0,9,23,8,15,0,0,6,23,13,10,0,0,3,3,3,0,,,
